Freq	Zreal	Zimag	Zmod	Zphz	Idc	Vdc
100007	0,829653	0,031785	0,830262	2,194	-0,000169	4,19825
79433,6	0,842852	-0,000344	0,842852	-0,023356	-0,000106	4,19823
63105,5	0,856063	-0,027485	0,856505	-1,83895	-5,43E-05	4,19825
50123,7	0,871106	-0,050146	0,872548	-3,29467	-3,19E-05	4,19827
39811,2	0,887907	-0,069887	0,890653	-4,50045	3,26E-06	4,19828
31634,1	0,905778	-0,086717	0,90992	-5,46869	3,93E-05	4,19828
25123,7	0,924463	-0,101381	0,930005	-6,2583	0,000114	4,19824
19954,4	0,94483	-0,114255	0,95171	-6,8951	0,000096	4,19827
15852,9	0,96616	-0,125521	0,97428	-7,40225	0,000121	4,19827
12587,2	0,98773	-0,135873	0,99703	-7,83255	0,000167	4,19824
9998,2	1,01031	-0,14552	1,02074	-8,19621	0,000183	4,19824
7942,6	1,03368	-0,153926	1,04508	-8,46969	0,000202	4,19825
6311,1	1,05801	-0,162167	1,07037	-8,71423	0,000215	4,19824
5011,18	1,08355	-0,170251	1,09685	-8,92945	0,000226	4,19824
3980,93	1,10973	-0,17786	1,12389	-9,10555	0,000209	4,19826
3162,67	1,13661	-0,185156	1,15159	-9,25234	0,000265	4,19823
2511,16	1,16515	-0,192704	1,18098	-9,39112	0,00026	4,19825
1995,37	1,19406	-0,199958	1,21069	-9,5066	0,000269	4,19825
1584,49	1,22428	-0,20691	1,24165	-9,5926	0,000278	4,19824
1259,04	1,2557	-0,213979	1,2738	-9,6707	0,000285	4,19825
999,95	1,2881	-0,220824	1,30689	-9,7279	0,00029	4,19824
794,163	1,3221	-0,227081	1,34146	-9,7459	0,000292	4,19824
630,984	1,35606	-0,233398	1,376	-9,7658	0,000297	4,19825
501,303	1,39168	-0,238061	1,41189	-9,7071	0,000301	4,19822
398,209	1,428	-0,243403	1,44859	-9,6732	0,000303	4,19821
316,113	1,46486	-0,248526	1,48579	-9,6291	0,000308	4,19822
251,185	1,50189	-0,253531	1,52314	-9,5817	0,000314	4,19822
199,495	1,53955	-0,258602	1,56112	-9,5351	0,000313	4,19822
158,533	1,57795	-0,263712	1,59984	-9,48774	0,000317	4,19822
125,911	1,61721	-0,269282	1,63947	-9,45361	0,000317	4,19822
100,009	1,65799	-0,274858	1,68062	-9,41276	0,000319	4,19822
79,4083	1,70025	-0,27999	1,72315	-9,35131	0,00032	4,19822
63,0971	1,74367	-0,284293	1,7667	-9,26017	0,000323	4,19822
50,0083	1,78885	-0,287752	1,81185	-9,13822	0,000326	4,19822
40,0059	1,83324	-0,28985	1,85601	-8,98458	0,000328	4,19822
31,5793	1,8821	-0,290579	1,9044	-8,77662	0,000334	4,19823
24,9911	1,93166	-0,288501	1,95308	-8,49457	0,00033	4,19822
20,0011	1,97955	-0,283342	1,99972	-8,14568	0,000331	4,19822
15,7934	2,02986	-0,272976	2,04813	-7,65921	0,000333	4,19822
12,5002	2,07709	-0,2578	2,09303	-7,07515	0,000333	4,19822
9,9987	2,11808	-0,239526	2,13158	-6,45197	0,000331	4,19822
7,89389	2,15601	-0,217395	2,16694	-5,75781	0,000332	4,19822
6,31623	2,18573	-0,195329	2,19444	-5,10669	0,000337	4,19822
4,99748	2,21159	-0,173362	2,21837	-4,48214	0,000331	4,19822
3,97302	2,23167	-0,15403	2,23698	-3,94831	0,000331	4,19822
3,15718	2,2482	-0,13699	2,25237	-3,48691	0,000339	4,19823
2,51085	2,26211	-0,123364	2,26547	-3,12152	0,000306	4,19828
1,99489	2,27377	-0,110018	2,27643	-2,77013	0,000304	4,19828
1,58325	2,28396	-0,1014	2,28621	-2,54207	0,000304	4,19827
1,25729	2,29334	-0,095496	2,29533	-2,38446	0,000309	4,19828
1,00006	2,30279	-0,092022	2,30463	-2,28839	0,000409	4,19835
0,794599	2,31054	-0,089945	2,31229	-2,22928	0,000399	4,19835
0,631058	2,31909	-0,09135	2,32089	-2,25575	0,000402	4,19835
0,501187	2,32768	-0,093941	2,32957	-2,3111	0,00041	4,19834
0,398272	2,33696	-0,098694	2,33904	-2,41827	0,000407	4,19835
0,316296	2,34633	-0,105198	2,34869	-2,56715	0,000412	4,19836
0,251206	2,35689	-0,113736	2,35963	-2,76278	0,000419	4,19836
0,199461	2,36736	-0,125349	2,37067	-3,03093	0,000419	4,19836
0,158526	2,3794	-0,13999	2,38352	-3,36706	0,000427	4,19837
0,125872	2,39247	-0,157484	2,39765	-3,76605	0,000427	4,19836
0,099994	2,4075	-0,178986	2,41414	-4,25184	0,000432	4,19837
0,079449	2,4241	-0,205295	2,43278	-4,84077	0,000435	4,19838
0,063103	2,44346	-0,236532	2,45488	-5,52912	0,000429	4,19837
0,050134	2,46602	-0,274269	2,48122	-6,34633	0,000434	4,19837
0,039809	2,49293	-0,318687	2,51322	-7,28495	0,000438	4,19838
0,031626	2,52594	-0,370877	2,55302	-8,35292	0,000438	4,19839
0,025116	2,56495	-0,430803	2,60087	-9,5343	0,000431	4,19838
0,019954	2,61277	-0,500831	2,66034	-10,8512	0,000421	4,19839
