Freq	Zreal	Zimag	Zmod	Zphz	Idc	Vdc
100007	0,882388	0,040021	0,883295	2,59686	-0,000884	3,39856
79433,6	0,894097	0,009945	0,894152	0,637301	-0,000727	3,3985
63105,5	0,906216	-0,015528	0,906349	-0,98164	-0,000662	3,39855
50123,7	0,919621	-0,036993	0,920364	-2,30356	-0,000538	3,39852
39811,2	0,93399	-0,054913	0,935603	-3,36475	-0,000496	3,39854
31634,1	0,949369	-0,070337	0,95197	-4,23719	-0,00039	3,39851
25123,7	0,96585	-0,083251	0,96944	-4,92639	-0,00038	3,39853
19954,4	0,98314	-0,09499	0,98772	-5,51872	-0,000293	3,39849
15852,9	1,00075	-0,105198	1,00626	-6,00086	-0,000237	3,39848
12587,2	1,01975	-0,114158	1,02612	-6,3875	-0,000234	3,39851
9998,2	1,0388	-0,122189	1,04596	-6,70857	-0,000205	3,3985
7942,6	1,05869	-0,129562	1,06659	-6,97714	-0,000176	3,39851
6311,1	1,07913	-0,136992	1,08779	-7,23481	-0,000162	3,39851
5011,18	1,10009	-0,143814	1,10945	-7,44801	-0,00014	3,39851
3980,93	1,12209	-0,150765	1,13218	-7,65243	-0,000139	3,39852
3162,67	1,14505	-0,15777	1,15587	-7,84506	-8,79E-05	3,39849
2511,16	1,16865	-0,164786	1,18021	-8,02609	-8,85E-05	3,39851
1995,37	1,19314	-0,171576	1,20541	-8,18314	-7,49E-05	3,39851
1584,49	1,21888	-0,178472	1,23187	-8,33026	-6,20E-05	3,39851
1259,04	1,24527	-0,185701	1,25904	-8,48174	-5,05E-05	3,39851
999,95	1,2728	-0,192813	1,28732	-8,61407	-4,23E-05	3,39851
794,163	1,30108	-0,200145	1,31638	-8,74525	-3,64E-05	3,39851
630,984	1,33166	-0,206532	1,34758	-8,81597	-3,08E-05	3,39851
501,303	1,36232	-0,212765	1,37883	-8,87668	-2,71E-05	3,39847
398,209	1,39391	-0,219816	1,41114	-8,96159	-2,28E-05	3,39848
316,113	1,4261	-0,227151	1,44407	-9,05015	-1,80E-05	3,39847
251,185	1,45862	-0,234857	1,47741	-9,14686	-1,21E-05	3,39848
199,495	1,492	-0,24354	1,51175	-9,27064	-7,72E-06	3,39848
158,533	1,52628	-0,253339	1,54716	-9,42428	-4,62E-06	3,39848
125,911	1,56236	-0,264104	1,58453	-9,5947	-3,75E-06	3,39847
100,009	1,60043	-0,276175	1,62409	-9,7907	-7,94E-07	3,39848
79,4083	1,64076	-0,288634	1,66595	-9,9771	2,79E-06	3,39848
63,0971	1,68344	-0,301357	1,7102	-10,1492	5,66E-06	3,39848
50,0083	1,72829	-0,314023	1,75658	-10,2981	5,79E-06	3,39847
40,0059	1,77237	-0,326725	1,80224	-10,4448	8,11E-06	3,39847
31,5793	1,82124	-0,340635	1,85282	-10,5939	1,51E-05	3,39848
24,9911	1,87127	-0,356271	1,90488	-10,7796	1,19E-05	3,39848
20,0011	1,9221	-0,37284	1,95792	-10,9777	1,22E-05	3,39848
15,7934	1,9811	-0,391915	2,0195	-11,1902	1,62E-05	3,39848
12,5002	2,04578	-0,410559	2,08657	-11,3477	1,41E-05	3,39847
9,9987	2,11438	-0,425355	2,15674	-11,3745	1,33E-05	3,39847
7,89389	2,19338	-0,434671	2,23603	-11,2093	1,21E-05	3,39847
6,31623	2,27181	-0,435756	2,31322	-10,8581	2,26E-05	3,39848
4,99748	2,35336	-0,425239	2,39147	-10,2425	1,45E-05	3,39847
3,97302	2,42899	-0,405999	2,46269	-9,48912	1,47E-05	3,39848
3,15718	2,49692	-0,379718	2,52563	-8,64696	2,37E-05	3,39847
2,51085	2,55501	-0,342089	2,57781	-7,62596	-8,25E-06	3,39853
1,99489	2,60665	-0,31533	2,62565	-6,89764	-1,11E-05	3,39852
1,58325	2,64696	-0,284286	2,66218	-6,13012	-1,09E-05	3,39852
1,25729	2,68025	-0,256821	2,69253	-5,47336	-1,16E-05	3,39852
1,00006	2,70783	-0,233751	2,7179	-4,93377	0,000107	3,3986
0,794599	2,72966	-0,216724	2,73825	-4,53953	0,000101	3,3986
0,631058	2,74905	-0,203797	2,75659	-4,23978	0,000103	3,3986
0,501187	2,76618	-0,19707	2,77319	-4,07503	0,000104	3,39861
0,398272	2,78212	-0,195508	2,78898	-4,01974	0,000111	3,3986
0,316296	2,79619	-0,20009	2,80334	-4,093	0,000117	3,39861
0,251206	2,8111	-0,210805	2,81899	-4,28859	0,00012	3,3986
0,199461	2,82542	-0,22903	2,83469	-4,6343	0,00012	3,3986
0,158526	2,83962	-0,254246	2,85098	-5,11634	0,000122	3,39858
0,125872	2,85584	-0,288542	2,87038	-5,76934	0,000126	3,39858
0,099994	2,87218	-0,333021	2,89142	-6,61376	0,000126	3,39858
0,079449	2,89201	-0,389614	2,91813	-7,67274	0,000126	3,39858
0,063103	2,91347	-0,461737	2,94983	-9,00554	0,000123	3,39859
0,050134	2,93799	-0,549402	2,98892	-10,5919	0,000118	3,39857
0,039809	2,96679	-0,659116	3,03913	-12,5256	0,000114	3,39857
0,031626	3,00198	-0,794075	3,10522	-14,8164	0,000111	3,39857
0,025116	3,04323	-0,95855	3,19062	-17,4832	0,000107	3,39857
0,019954	3,09409	-1,15998	3,30438	-20,5512	0,000107	3,39858
