Freq	Zreal	Zimag	Zmod	Zphz	Idc	Vdc
100007	0,876235	0,036885	0,877011	2,41042	-0,000605	3,59865
79433,6	0,888919	0,006481	0,888942	0,417704	-0,000552	3,59866
63105,5	0,901915	-0,018921	0,902114	-1,20183	-0,000497	3,59869
50123,7	0,915752	-0,040535	0,916649	-2,53448	-0,000435	3,59869
39811,2	0,930883	-0,058528	0,932721	-3,59763	-0,000387	3,59868
31634,1	0,947042	-0,073961	0,949925	-4,46554	-0,000342	3,59869
25123,7	0,96411	-0,086734	0,96801	-5,14066	-0,000299	3,59868
19954,4	0,98173	-0,098451	0,98665	-5,72664	-0,00024	3,59865
15852,9	1,00039	-0,108392	1,00624	-6,18385	-0,000212	3,59865
12587,2	1,01946	-0,117215	1,02617	-6,55897	-0,000203	3,59866
9998,2	1,03895	-0,125377	1,04649	-6,88097	-0,000183	3,59865
7942,6	1,05914	-0,132866	1,06744	-7,15026	-0,00017	3,59866
6311,1	1,08005	-0,140213	1,08911	-7,39686	-0,000151	3,59865
5011,18	1,10184	-0,147261	1,11163	-7,61252	-0,000135	3,59865
3980,93	1,12449	-0,154246	1,13502	-7,8105	-0,000133	3,59866
3162,67	1,14746	-0,161079	1,15872	-7,99088	-9,09E-05	3,59863
2511,16	1,17184	-0,168014	1,18382	-8,15923	-9,23E-05	3,59865
1995,37	1,19702	-0,174951	1,20974	-8,3152	-8,19E-05	3,59865
1584,49	1,22321	-0,181683	1,23663	-8,44833	-7,02E-05	3,59865
1259,04	1,25052	-0,188505	1,26465	-8,57233	-6,24E-05	3,59865
999,95	1,27867	-0,195479	1,29353	-8,69188	-5,47E-05	3,59865
794,163	1,30771	-0,202659	1,32332	-8,80916	-4,75E-05	3,59865
630,984	1,33853	-0,208628	1,35469	-8,85901	-4,09E-05	3,59866
501,303	1,3701	-0,214397	1,38678	-8,89366	-3,69E-05	3,59862
398,209	1,40226	-0,220486	1,41949	-8,93579	-3,39E-05	3,59862
316,113	1,43478	-0,226837	1,4526	-8,98404	-2,98E-05	3,59862
251,185	1,46783	-0,233438	1,48628	-9,03643	-2,45E-05	3,59862
199,495	1,50159	-0,240511	1,52073	-9,09984	-1,89E-05	3,59863
158,533	1,53609	-0,248494	1,55606	-9,18915	-1,66E-05	3,59862
125,911	1,57199	-0,256972	1,59286	-9,28396	-1,51E-05	3,59862
100,009	1,60922	-0,26634	1,63111	-9,39777	-1,30E-05	3,59862
79,4083	1,64836	-0,27567	1,67125	-9,49422	-6,99E-06	3,59862
63,0971	1,68883	-0,28509	1,71272	-9,5817	-7,04E-06	3,59862
50,0083	1,73095	-0,294744	1,75587	-9,6636	-2,96E-06	3,59862
40,0059	1,77183	-0,304162	1,79775	-9,7408	1,45E-06	3,59862
31,5793	1,81645	-0,316043	1,84374	-9,87	5,06E-06	3,59862
24,9911	1,86196	-0,329574	1,8909	-10,0376	-5,21E-07	3,59861
20,0011	1,90874	-0,344501	1,93958	-10,2309	1,19E-06	3,59861
15,7934	1,96336	-0,361931	1,99644	-10,4448	7,20E-06	3,59862
12,5002	2,02433	-0,378954	2,0595	-10,603	6,51E-06	3,59862
9,9987	2,08866	-0,391632	2,12506	-10,6199	1,05E-05	3,59863
7,89389	2,16332	-0,398295	2,19968	-10,432	1,14E-05	3,59863
6,31623	2,23676	-0,395638	2,27148	-10,0307	2,14E-05	3,59863
4,99748	2,31145	-0,381739	2,34276	-9,3778	1,77E-05	3,59863
3,97302	2,37912	-0,35907	2,40606	-8,58263	1,27E-05	3,59862
3,15718	2,43901	-0,329913	2,46122	-7,70339	2,43E-05	3,59863
2,51085	2,49053	-0,297259	2,5082	-6,8064	-1,18E-05	3,59867
1,99489	2,53041	-0,263715	2,54412	-5,94977	-1,19E-05	3,59867
1,58325	2,56299	-0,233591	2,57361	-5,20755	-1,21E-05	3,59867
1,25729	2,5881	-0,207095	2,59637	-4,57495	-8,08E-06	3,59867
1,00006	2,60937	-0,184891	2,61591	-4,053	8,73E-05	3,59872
0,794599	2,62483	-0,166688	2,63012	-3,63365	8,03E-05	3,59874
0,631058	2,63901	-0,155005	2,64356	-3,36146	8,36E-05	3,59874
0,501187	2,65139	-0,146358	2,65543	-3,15955	8,68E-05	3,59875
0,398272	2,66165	-0,142841	2,66548	-3,07191	9,42E-05	3,59874
0,316296	2,67318	-0,143728	2,67704	-3,07764	0,000102	3,59874
0,251206	2,68292	-0,147813	2,68699	-3,15348	0,000108	3,59874
0,199461	2,69328	-0,157522	2,69788	-3,34726	0,000113	3,59874
0,158526	2,70486	-0,172351	2,71034	-3,6459	0,000116	3,59873
0,125872	2,71603	-0,192683	2,72286	-4,05793	0,000124	3,59874
0,099994	2,72864	-0,219964	2,73749	-4,60884	0,000126	3,59873
0,079449	2,743	-0,25527	2,75485	-5,31677	0,000131	3,59874
0,063103	2,76004	-0,299406	2,77624	-6,19116	0,000133	3,59874
0,050134	2,78026	-0,354101	2,80272	-7,25824	0,000132	3,59874
0,039809	2,80378	-0,4214	2,83527	-8,54742	0,000127	3,59873
0,031626	2,83378	-0,502307	2,87796	-10,0517	0,000126	3,59873
0,025116	2,86928	-0,601569	2,93166	-11,841	0,000122	3,59872
0,019954	2,91266	-0,719326	3,00017	-13,8725	0,000116	3,59871
